Date,BBDC4,BBAS3,VALE3,PETR4,CSAN3
2018-01-02,10.438560485839844,13.33534049987793,8.852771759033203,4.981471538543701,24.332210540771484
2018-01-03,10.571694374084473,13.396644592285156,8.852771759033203,5.026622295379639,24.1864070892334
2018-01-04,10.673134803771973,13.616449356079102,8.831966400146484,5.035650730133057,24.285554885864258
2018-01-05,10.673134803771973,13.693581581115723,8.923511505126953,5.065751075744629,24.664649963378906
2018-01-08,10.698493003845215,13.689722061157227,8.846529960632324,5.125949859619141,25.212881088256836
2018-01-09,10.597057342529297,13.562466621398926,8.603103637695312,5.125949859619141,25.11956787109375
2018-01-10,10.5526762008667,13.419784545898438,8.436660766601562,5.056720733642578,24.76963233947754
2018-01-11,10.79358959197998,13.689722061157227,8.521964073181152,5.192169189453125,25.253713607788086
2018-01-12,10.818948745727539,13.689722061157227,8.675925254821777,5.207219123840332,25.399518966674805
2018-01-15,10.872838973999023,13.786124229431152,8.67176342010498,5.222269058227539,25.352863311767578
2018-01-16,10.967937469482422,13.878676414489746,8.480351448059082,5.312566757202148,24.670482635498047
2018-01-17,11.227867126464844,14.225743293762207,8.738340377807617,5.526273727416992,25.166227340698242
2018-01-18,11.151793479919434,14.21031665802002,8.842369079589844,5.484133243560791,24.997093200683594
2018-01-19,11.07888412475586,14.310583114624023,8.815321922302246,5.496174335479736,25.00875473022461
2018-01-22,11.116922378540039,14.507247924804688,8.721696853637695,5.559382915496826,24.874614715576172
2018-01-23,11.164470672607422,14.572809219360352,8.861095428466797,5.490155220031738,23.871463775634766
2018-01-24,12.042540550231934,15.34791088104248,9.196063995361328,5.821249485015869,24.367202758789062
2018-01-25,12.042540550231934,15.34791088104248,9.196063995361328,5.821249485015869,24.367202758789062
2018-01-26,12.416592597961426,15.887794494628906,9.410361289978027,5.998836994171143,24.16307830810547
2018-01-29,12.346851348876953,15.425039291381836,9.4977445602417,5.974755764007568,24.43136215209961
2018-01-30,12.299308776855469,15.579278945922852,9.233514785766602,5.866400241851807,24.1864070892334
2018-01-31,12.578259468078613,15.714262962341309,9.079551696777344,5.929608345031738,24.17474365234375
2018-02-01,12.613125801086426,15.2977876663208,9.154452323913574,6.176422119140625,24.37303924560547
2018-02-02,12.441949844360352,14.822836875915527,9.156532287597656,6.0108771324157715,23.79564666748047
2018-02-05,12.071072578430176,14.583641052246094,9.081633567810059,5.73095178604126,23.533193588256836
2018-02-06,12.600448608398438,14.93087100982666,9.248076438903809,6.016895771026611,24.76963233947754
2018-02-07,12.613125801086426,14.707094192504883,9.229353904724121,5.851348876953125,24.326379776000977
2018-02-08,12.216886520385742,14.525760650634766,9.012974739074707,5.73396110534668,24.256397247314453
2018-02-09,11.988649368286133,14.359870910644531,9.033781051635742,5.64968204498291,24.49551773071289
2018-02-14,12.540215492248535,14.884571075439453,8.956799507141113,5.794159889221191,25.959415435791016
2018-02-15,12.648000717163086,14.946308135986328,9.031700134277344,5.8393073081970215,26.79926109313965
2018-02-16,12.774789810180664,14.919300079345703,8.925592422485352,5.845328330993652,26.845922470092773
2018-02-19,12.562411308288574,14.845992088317871,9.289690017700195,6.0349555015563965,27.090871810913086
2018-02-20,12.933290481567383,15.29738998413086,9.689155578613281,6.15234375,26.542644500732422
2018-02-21,13.034721374511719,15.378408432006836,9.945064544677734,6.095154285430908,26.128551483154297
2018-02-22,13.440476417541504,15.471013069152832,9.795265197753906,6.242644309997559,26.635955810546875
2018-02-23,13.440476417541504,15.613757133483887,9.56640338897705,6.357021808624268,26.875083923339844
2018-02-26,13.637008666992188,15.613757133483887,9.591367721557617,6.477419853210449,27.644943237304688
2018-02-27,13.503872871398926,15.444001197814941,9.262640953063965,6.471398830413818,27.604110717773438
2018-02-28,13.25027847290039,14.957879066467285,9.023377418518066,6.459359169006348,26.274354934692383
2018-03-01,13.345379829406738,15.042753219604492,9.214789390563965,6.32993221282959,25.924427032470703
2018-03-02,13.455595016479492,15.138851165771484,9.216869354248047,6.474410533905029,25.516162872314453
2018-03-05,13.567193984985352,15.239217758178711,9.131566047668457,6.658017158508301,25.48700523376465
2018-03-06,13.86691665649414,15.266227722167969,9.218952178955078,6.591797351837158,25.364524841308594
2018-03-07,13.771256446838379,14.996033668518066,9.18358039855957,6.522567272186279,25.27517318725586
2018-03-08,13.844596862792969,14.799173355102539,9.060827255249023,6.531598091125488,24.455272674560547
2018-03-09,13.937061309814453,15.115705490112305,9.391636848449707,6.739284515380859,24.832778930664062
2018-03-12,13.863730430603027,15.23535442352295,9.316736221313477,6.721225738525391,25.045127868652344
2018-03-13,13.688578605651855,15.015340805053711,9.008813858032227,6.6550068855285645,24.85047721862793
2018-03-14,13.570378303527832,14.934284210205078,9.002572059631348,6.736274719238281,25.127702713012695
2018-03-15,13.541629791259766,14.718119621276855,8.896464347839355,6.41420841217041,25.009733200073242
2018-03-16,13.544820785522461,14.756719589233398,9.0941162109375,6.4503302574157715,24.950756072998047
2018-03-19,13.225369453430176,14.606183052062988,8.859012603759766,6.299831390380859,24.2429256439209
2018-03-20,13.276479721069336,14.59073543548584,8.759147644042969,6.3690619468688965,24.537851333618164
2018-03-21,13.496904373168945,14.664074897766113,8.898544311523438,6.636944770812988,25.068723678588867
2018-03-22,13.254121780395508,14.752867698669434,8.748744010925293,6.537618160247803,24.732505798339844
2018-03-23,13.161480903625488,14.853216171264648,8.732100486755371,6.546647548675537,24.537851333618164
2018-03-26,13.250922203063965,14.93813705444336,8.840288162231445,6.630928993225098,24.77379608154297
2018-03-27,12.921887397766113,14.756719589233398,8.65303897857666,6.453338146209717,24.101362228393555
2018-03-28,12.880358695983887,14.853216171264648,8.48867416381836,6.381100654602051,24.502458572387695
2018-03-29,13.107168197631836,15.246935844421387,8.636392593383789,6.444310188293457,24.897661209106445
2018-04-02,12.857999801635742,15.10720157623291,8.455385208129883,6.290802001953125,25.363645553588867
2018-04-03,12.688688278198242,15.276697158813477,8.447062492370605,6.233611583709717,25.28696632385254
2018-04-04,12.794108390808105,15.145004272460938,8.38464641571045,6.134283065795898,25.09821128845215
2018-04-05,13.167866706848145,15.19173526763916,8.295181274414062,6.366050720214844,25.511110305786133
2018-04-06,12.99536418914795,15.145004272460938,8.234847068786621,6.405181884765625,25.21028709411621
2018-04-09,12.522570610046387,14.571487426757812,8.072561264038086,6.1794328689575195,25.33415412902832
2018-04-10,12.372428894042969,14.69469165802002,8.095449447631836,6.441299915313721,26.448978424072266
2018-04-11,12.474658966064453,15.038793563842773,8.417935371398926,6.561697006225586,26.33100700378418
2018-04-12,12.442707061767578,14.766904830932617,8.413775444030762,6.525578022003174,26.4312801361084
2018-04-13,12.024221420288086,14.444048881530762,8.207798957824707,6.381100654602051,26.53155517578125
2018-04-16,11.59615707397461,14.12967300415039,7.991420745849609,6.20652437210083,26.272016525268555
2018-04-17,11.874079704284668,14.308103561401367,8.17451000213623,6.32993221282959,27.0919132232666
2018-04-18,12.145614624023438,14.788155555725098,8.047595977783203,6.561697006225586,28.006187438964844
2018-04-19,12.152002334594727,14.762664794921875,7.906117916107178,6.682095050811768,28.212636947631836
2018-04-20,12.017834663391113,14.55449390411377,7.916521072387695,6.730255126953125,28.09465980529785
2018-04-23,11.800606727600098,14.550244331359863,7.864506721496582,6.76637601852417,28.017976760864258
2018-04-24,11.685602188110352,14.57573413848877,8.228604316711426,6.742292881011963,28.495763778686523
2018-04-25,11.838946342468262,14.754166603088379,8.186993598937988,6.540627956390381,28.283411026000977
2018-04-26,11.931581497192383,14.754166603088379,8.388808250427246,6.811524391174316,28.72580337524414
2018-04-27,11.931581497192383,14.915586471557617,8.38464641571045,6.835604190826416,28.51935577392578
2018-04-30,11.723939895629883,14.68619441986084,8.276457786560059,6.913862705230713,28.70810317993164
